sample_id,model,k,bic
P3_4 Weeks,EVE,6,-100292.5934736093
P3_4 Weeks,VVE,6,-97569.66147536247
P3_4 Weeks,VVV,6,-97146.42093634505
P3_4 Weeks,EVE,7,-99207.82524508856
P3_4 Weeks,VVE,7,-97157.49322453054
P3_4 Weeks,VVV,7,-97010.32209713895
P3_4 Weeks,EVE,8,-98594.49699949949
P3_4 Weeks,VVE,8,-96838.5059174313
P3_4 Weeks,VVV,8,-96807.36893258778
P3_4 Weeks,EVE,9,-98327.77936336731
P3_4 Weeks,VVE,9,-96720.78429685872
P3_4 Weeks,VVV,9,-97041.56975945846
P3_4 Weeks,EVE,10,-98032.48341871465
P3_4 Weeks,VVE,10,-95905.1365036793
P3_4 Weeks,VVV,10,-96517.41985938803
P3_4 Weeks,EVE,11,-97963.73585154819
P3_4 Weeks,VVE,11,-96083.41922752486
P3_4 Weeks,VVV,11,-96826.15522031419
P3_4 Weeks,EVE,12,-97851.05112441287
P3_4 Weeks,VVE,12,-96115.2544907859
P3_4 Weeks,VVV,12,-97146.45591999026
P3_4 Weeks,EVE,13,-97344.75429266704
P3_4 Weeks,VVE,13,-95708.01914423442
P3_4 Weeks,VVV,13,-97383.86338876348
P3_4 Weeks,EVE,14,-97514.33210123236
P3_4 Weeks,VVE,14,-95562.40942772309
P3_4 Weeks,VVV,14,-97693.43383789265
P3_4 Weeks,EVE,15,-97401.87918154882
P3_4 Weeks,VVE,15,-95447.16881410597
P3_4 Weeks,VVV,15,-97968.8534095456
P3_4 Weeks,EVE,16,-97163.59951832298
P3_4 Weeks,VVE,16,-95527.04262726821
P3_4 Weeks,VVV,16,-98200.51813224159
P3_4 Weeks,EVE,17,-96857.47378930672
P3_4 Weeks,VVE,17,-95747.19278025828
P3_4 Weeks,VVV,17,-98410.92969826046
P3_4 Weeks,EVE,18,-96829.77137099464
P3_4 Weeks,VVE,18,-95441.39458411517
P3_4 Weeks,VVV,18,-98694.95365181025
P3_4 Weeks,EVE,19,-96829.13018372527
P3_4 Weeks,VVE,19,-95420.5644012453
P3_4 Weeks,VVV,19,-99118.15383236918
P3_4 Weeks,EVE,20,-96778.49413923973
P3_4 Weeks,VVE,20,-95254.03215111837
P3_4 Weeks,VVV,20,-99446.48623797196
P2_4 Weeks,EVE,6,-36710.70267874301
P2_4 Weeks,VVE,6,-36344.48757009341
P2_4 Weeks,VVV,6,-36796.21411360916
P2_4 Weeks,EVE,7,-36046.81406236331
P2_4 Weeks,VVE,7,-35944.4987707854
P2_4 Weeks,VVV,7,-36729.76249067868
P2_4 Weeks,EVE,8,-36038.28706693376
P2_4 Weeks,VVE,8,-35890.14536423748
P2_4 Weeks,VVV,8,-36952.82467971156
P2_4 Weeks,EVE,9,-35837.308693290215
P2_4 Weeks,VVE,9,-35914.08013911469
P2_4 Weeks,VVV,9,-37263.78064487474
P2_4 Weeks,EVE,10,-36009.64905340295
P2_4 Weeks,VVE,10,-35790.195010778116
P2_4 Weeks,VVV,10,-37583.52564943274
P2_4 Weeks,EVE,11,-35949.75088982323
P2_4 Weeks,VVE,11,-35767.907860927124
P2_4 Weeks,VVV,11,-37897.83418257204
P2_4 Weeks,EVE,12,-35681.77344112708
P2_4 Weeks,VVE,12,-35700.89427971492
P2_4 Weeks,VVV,12,-38063.41844186101
P2_4 Weeks,EVE,13,-35716.2221052817
P2_4 Weeks,VVE,13,-35660.819559420044
P2_4 Weeks,VVV,13,-38302.427591104926
P2_4 Weeks,EVE,14,-35734.08328319767
P2_4 Weeks,VVE,14,-35762.69274049528
P2_4 Weeks,VVV,14,-38578.07076903047
P2_4 Weeks,EVE,15,-35777.08285111125
P2_4 Weeks,VVE,15,-35822.10753024867
P2_4 Weeks,VVV,15,-38879.117814396355
P2_4 Weeks,EVE,16,-35858.854731098305
P2_4 Weeks,VVE,16,-35831.44541177851
P2_4 Weeks,VVV,16,-39227.52948980359
P2_4 Weeks,EVE,17,-35968.40142573778
P2_4 Weeks,VVE,17,-36077.25283884618
P2_4 Weeks,VVV,17,-39587.24428830373
P2_4 Weeks,EVE,18,-35974.32278920866
P2_4 Weeks,VVE,18,-36090.39070984589
P2_4 Weeks,VVV,18,-39809.212173275926
P2_4 Weeks,EVE,19,-36060.61826156955
P2_4 Weeks,VVE,19,-36055.231248402095
P2_4 Weeks,VVV,19,-40119.09320405786
P2_4 Weeks,EVE,20,-36142.49187707481
P2_4 Weeks,VVE,20,-36094.41077096203
P2_4 Weeks,VVV,20,-40444.99864502989
P1_4 Weeks,EVE,6,-87612.62052063411
P1_4 Weeks,VVE,6,-84384.26642590684
P1_4 Weeks,VVV,6,-83212.60506674537
P1_4 Weeks,EVE,7,-86380.67958302484
P1_4 Weeks,VVE,7,-82864.7164333927
P1_4 Weeks,VVV,7,-81948.24329935608
P1_4 Weeks,EVE,8,-85595.0018336053
P1_4 Weeks,VVE,8,-82660.09348856058
P1_4 Weeks,VVV,8,-82007.99925473114
P1_4 Weeks,EVE,9,-85525.44667675183
P1_4 Weeks,VVE,9,-82584.10976336512
P1_4 Weeks,VVV,9,-81865.70975899097
P1_4 Weeks,EVE,10,-85106.34670494747
P1_4 Weeks,VVE,10,-82498.45479888462
P1_4 Weeks,VVV,10,-81854.38344132273
P1_4 Weeks,EVE,11,-84834.93607880792
P1_4 Weeks,VVE,11,-82032.14063653759
P1_4 Weeks,VVV,11,-82109.50069319022
P1_4 Weeks,EVE,12,-84907.97596938944
P1_4 Weeks,VVE,12,-81661.39413867971
P1_4 Weeks,VVV,12,-82369.58997762614
P1_4 Weeks,EVE,13,-84618.81027561551
P1_4 Weeks,VVE,13,-81467.55884505497
P1_4 Weeks,VVV,13,-82627.57883920778
P1_4 Weeks,EVE,14,-83773.54075284109
P1_4 Weeks,VVE,14,-81335.10356851199
P1_4 Weeks,VVV,14,-83033.21297893154
P1_4 Weeks,EVE,15,-83778.62804196752
P1_4 Weeks,VVE,15,-81371.45403973508
P1_4 Weeks,VVV,15,-83368.41544723598
P1_4 Weeks,EVE,16,-83752.31909456928
P1_4 Weeks,VVE,16,-81363.61519544713
P1_4 Weeks,VVV,16,-83566.59798662248
P1_4 Weeks,EVE,17,-83492.11909991525
P1_4 Weeks,VVE,17,-81157.13073412735
P1_4 Weeks,VVV,17,-83661.35275274664
P1_4 Weeks,EVE,18,-83258.31802920492
P1_4 Weeks,VVE,18,-81169.83520196169
P1_4 Weeks,VVV,18,-84049.4727421188
P1_4 Weeks,EVE,19,-83047.208718523
P1_4 Weeks,VVE,19,-81117.33687119196
P1_4 Weeks,VVV,19,-84376.03101975098
P1_4 Weeks,EVE,20,-83105.81131932304
P1_4 Weeks,VVE,20,-81193.61027459442
P1_4 Weeks,VVV,20,-84776.5564973798
P2_6 Months,EVE,6,-54528.47813794238
P2_6 Months,VVE,6,-53898.66193729645
P2_6 Months,VVV,6,-54237.87373493974
P2_6 Months,EVE,7,-53958.11725865354
P2_6 Months,VVE,7,-53726.784358943914
P2_6 Months,VVV,7,-54327.827293657
P2_6 Months,EVE,8,-53731.83673359109
P2_6 Months,VVE,8,-53471.30408603449
P2_6 Months,VVV,8,-54573.948328691666
P2_6 Months,EVE,9,-53660.023261750175
P2_6 Months,VVE,9,-53377.37536875161
P2_6 Months,VVV,9,-54730.448415096056
P2_6 Months,EVE,10,-53602.2179964
P2_6 Months,VVE,10,-53375.3992849791
P2_6 Months,VVV,10,-55059.31632214176
P2_6 Months,EVE,11,-53689.27688533618
P2_6 Months,VVE,11,-53335.34890484757
P2_6 Months,VVV,11,-55103.05224122123
P2_6 Months,EVE,12,-53558.00642083042
P2_6 Months,VVE,12,-53284.11502684724
P2_6 Months,VVV,12,-55546.67960829659
P2_6 Months,EVE,13,-53588.564740371905
P2_6 Months,VVE,13,-53338.55008757606
P2_6 Months,VVV,13,-55707.2623895531
P2_6 Months,EVE,14,-53590.59020043119
P2_6 Months,VVE,14,-53339.843832955936
P2_6 Months,VVV,14,-56147.604589959206
P2_6 Months,EVE,15,-53740.11141176821
P2_6 Months,VVE,15,-53446.63289864506
P2_6 Months,VVV,15,-56379.31367436396
P2_6 Months,EVE,16,-53843.96441134335
P2_6 Months,VVE,16,-53481.71847975803
P2_6 Months,VVV,16,-56566.26289349775
P2_6 Months,EVE,17,-53562.23097748314
P2_6 Months,VVE,17,-53587.64337515845
P2_6 Months,VVV,17,-56955.11558735553
P2_6 Months,VVE,18,-53422.97671091791
P2_6 Months,VVV,18,-57101.93273783731
P2_6 Months,EVE,19,-53941.75627646985
P2_6 Months,VVE,19,-53543.740863127125
P2_6 Months,VVV,19,-57487.67839105434
P2_6 Months,EVE,20,-53861.139374715545
P2_6 Months,VVE,20,-53593.084420636274
P1_6 Months,EVE,6,-67563.60922244462
P1_6 Months,VVE,6,-68752.8810180317
P1_6 Months,VVV,6,-67383.71016633093
P1_6 Months,EVE,7,-67480.7698252294
P1_6 Months,VVE,7,-68853.88575003292
P1_6 Months,VVV,7,-67547.00369750898
P1_6 Months,EVE,8,-67431.07275821929
P1_6 Months,VVE,8,-68528.02354287443
P1_6 Months,VVV,8,-65159.28952419198
P1_6 Months,EVE,9,-67085.4439074275
P1_6 Months,VVE,9,-65522.67438980958
P1_6 Months,VVV,9,-65470.326600125525
P1_6 Months,EVE,10,-66994.17326182844
P1_6 Months,VVE,10,-64057.12056353921
P1_6 Months,VVV,10,-64979.72571482517
P1_6 Months,EVE,11,-66155.9036575029
P1_6 Months,VVE,11,-63992.35319463927
P1_6 Months,VVV,11,-65044.356741932235
P1_6 Months,EVE,12,-66020.72677453539
P1_6 Months,VVE,12,-63661.44854963486
P1_6 Months,VVV,12,-65000.54103927833
P1_6 Months,EVE,13,-66186.00172785741
P1_6 Months,VVE,13,-63573.86453914323
P1_6 Months,VVV,13,-65431.67351988657
P1_6 Months,EVE,14,-65832.30341539507
P1_6 Months,VVE,14,-63481.75954166948
P1_6 Months,VVV,14,-65619.97869668604
P1_6 Months,EVE,15,-65696.59109859444
P1_6 Months,VVE,15,-63536.886511157136
P1_6 Months,VVV,15,-65935.5714598232
P1_6 Months,EVE,16,-65693.62351648841
P1_6 Months,VVE,16,-63542.483259886954
P1_6 Months,VVV,16,-66287.0039291904
P1_6 Months,EVE,17,-65640.03330696841
P1_6 Months,VVE,17,-63690.198367349
P1_6 Months,VVV,17,-66723.15259008038
P1_6 Months,EVE,18,-65833.23259546002
P1_6 Months,VVE,18,-63547.23890069684
P1_6 Months,VVV,18,-67015.46387644549
P1_6 Months,EVE,19,-65729.52915404127
P1_6 Months,VVE,19,-63533.765954956245
P1_6 Months,VVV,19,-67396.84510083073
P1_6 Months,EVE,20,-65789.80945826843
P1_6 Months,VVE,20,-63548.61083952619
P1_6 Months,VVV,20,-67633.0896877991
P4_6 Months,EVE,6,-62508.85746089791
P4_6 Months,VVE,6,-62891.78658068127
P4_6 Months,VVV,6,-62846.86978869109
P4_6 Months,EVE,7,-62680.58754742722
P4_6 Months,VVE,7,-62393.22580338159
P4_6 Months,VVV,7,-62646.92272647211
P4_6 Months,EVE,8,-62437.341124270686
P4_6 Months,VVE,8,-61973.60636295705
P4_6 Months,VVV,8,-62668.642145646554
P4_6 Months,EVE,9,-62369.5774137551
P4_6 Months,VVE,9,-61952.008792169436
P4_6 Months,VVV,9,-62952.331416164474
P4_6 Months,EVE,10,-62387.0602944065
P4_6 Months,VVE,10,-61954.18773071551
P4_6 Months,VVV,10,-63261.15494959737
P4_6 Months,EVE,11,-62501.91959905141
P4_6 Months,VVE,11,-61959.555916041274
P4_6 Months,VVV,11,-63541.19076853888
P4_6 Months,EVE,12,-62078.86634686926
P4_6 Months,VVE,12,-61998.010810566375
P4_6 Months,VVV,12,-63830.28554207529
P4_6 Months,EVE,13,-61970.91427712882
P4_6 Months,VVE,13,-62025.61105688928
P4_6 Months,VVV,13,-64194.34043598158
P4_6 Months,EVE,14,-62020.156547637554
P4_6 Months,VVE,14,-61655.16025624341
P4_6 Months,VVV,14,-64413.01577433437
P4_6 Months,EVE,15,-62066.57236122875
P4_6 Months,VVE,15,-61863.97902157459
P4_6 Months,VVV,15,-64729.10011365483
P4_6 Months,EVE,16,-62037.93126717513
P4_6 Months,VVE,16,-61878.04830652992
P4_6 Months,VVV,16,-65138.74544122687
P4_6 Months,EVE,17,-62076.44519151912
P4_6 Months,VVE,17,-61926.3778866414
P4_6 Months,VVV,17,-65503.00675175965
P4_6 Months,EVE,18,-62058.03587790848
P4_6 Months,VVE,18,-61836.282748707024
P4_6 Months,VVV,18,-65820.97865693092
P4_6 Months,EVE,19,-62096.63847718158
P4_6 Months,VVE,19,-61933.20819809273
P4_6 Months,VVV,19,-66107.63359225183
P4_6 Months,EVE,20,-62108.24330058697
P4_6 Months,VVE,20,-62009.66822520615
P4_6 Months,VVV,20,-66499.46471441224
